ID	Gene	Symbol	Name
MG_001_MONOMER	MG_001	dnaN	DNA polymerase III, beta subunit
MG_002_MONOMER	MG_002		DnaJ domain protein
MG_003_MONOMER	MG_003	gyrB	DNA gyrase, B subunit
MG_004_MONOMER	MG_004	gyrA	DNA gyrase, A subunit
MG_005_MONOMER	MG_005	serS	seryl-tRNA synthetase
MG_006_MONOMER	MG_006	tmk	thymidylate kinase
MG_007_MONOMER	MG_007	holB	DNA polymerase III delta prime subunit, putative
MG_008_MONOMER	MG_008	mnmE	tRNA modification GTPase TrmE
MG_009_MONOMER	MG_009	tatD	deoxyribonuclease
MG_010_MONOMER	MG_010	dnaE	DNA primase-related protein
MG_011_MONOMER	MG_011		
MG_012_MONOMER	MG_012	rimK	alpha-L-glutamate ligase
MG_013_MONOMER	MG_013	folD	methylenetetrahydrofolate dehydrogenase/methylenetetrahydrofolate cyclohydrolase
MG_014_MONOMER	MG_014	mdlB	multidrug ABC transporter, ATP-binding/permease protein
MG_015_MONOMER	MG_015	mdlB	multidrug ABC transporter, ATP-binding/permease protein
MG_018_MONOMER	MG_018	hepA2	SNF2 family helicase putative
MG_019_MONOMER	MG_019	dnaJ	chaperone protein DnaJ
MG_020_MONOMER	MG_020	pepP	proline iminopeptidase
MG_021_MONOMER	MG_021	metG	methionyl-tRNA synthetase
MG_022_MONOMER	MG_022	rpoE	DNA-directed RNA polymerase, delta subunit
MG_023_MONOMER	MG_023	fba	fructose-1,6-bisphosphate aldolase, class II
MG_024_MONOMER	MG_024	ychF	GTP-binding protein YchF
MG_025_MONOMER	MG_025	trsB	Beta-glycosyl transferase
MG_026_MONOMER	MG_026	efp	translation elongation factor P
MG_027_MONOMER	MG_027	nusB	transcription termination/antitermination protein NusB
MG_028_MONOMER	MG_028		
MG_029_MONOMER	MG_029		DJ-1/PfpI family protein
MG_030_MONOMER	MG_030	upp	uracil phosphoribosyltransferase
MG_031_MONOMER	MG_031	polC	DNA polymerase III, alpha subunit, Gram-positive type
MG_032_MONOMER	MG_032		
MG_033_MONOMER	MG_033	glpF	glycerol uptake facilitator
MG_034_MONOMER	MG_034	tdk	thymidine kinase
MG_035_MONOMER	MG_035	hisS	histidyl-tRNA synthetase
MG_036_MONOMER	MG_036	aspS	aspartyl-tRNA synthetase
MG_037_MONOMER	MG_037	pncB	nicotinate phosphoribosyltransferase
MG_038_MONOMER	MG_038	glpK	glycerol kinase
MG_039_MONOMER	MG_039	gpsA	FAD-dependent glycerol-3-phosphate dehydrogenase, putative
MG_040_MONOMER	MG_040		Monosaccharide (riboside/galactoside) ABC transporter, substrate binding protein
MG_041_MONOMER	MG_041	ptsH	PTS system, HPr
MG_042_MONOMER	MG_042	potA	spermidine/putrescine (polyamine) ABC transporter, ATP-binding protein, putative
MG_043_MONOMER	MG_043	potB	spermidine/putrescine (polyamine) ABC transporter, permease protein, putative
MG_044_MONOMER	MG_044	potC	spermidine/putrescine (polyamine) ABC transporter, permease protein, putative
MG_045_MONOMER	MG_045	potD	spermidine/putrescine (polyamine) ABC transporter, spermidine/putrescine binding protein, putative
MG_046_MONOMER	MG_046	gcp	metalloendopeptidase
MG_047_MONOMER	MG_047	metK	S-adenosylmethionine synthetase
MG_048_MONOMER	MG_048	ffh	signal recognition particle protein
MG_049_MONOMER	MG_049	deoD	purine nucleoside phosphorylase
MG_050_MONOMER	MG_050	deoC	deoxyribose-phosphate aldolase
MG_051_MONOMER	MG_051	pdp	pyrimidine-nucleoside phosphorylase
MG_052_MONOMER	MG_052	cdd	cytidine deaminase
MG_053_MONOMER	MG_053	pgm	phosphoglucomutase/phosphomannomutase, putative
MG_054_MONOMER	MG_054	nusG	transcription antitermination protein NusG, putative
MG_055_MONOMER	MG_055	secE	preprotein translocase, SecE subunit
MG_473_MONOMER	MG_473	rpmG-2	ribosomal protein L33 type 2
MG_474_MONOMER	MG_474		
MG_056_MONOMER	MG_056	yraL	tetrapyrrole (corrin/porphyrin) methylase protein
MG_057_MONOMER	MG_057		small primase-like protein
MG_058_MONOMER	MG_058	prs	ribose-phosphate pyrophosphokinase
MG_059_MONOMER	MG_059	smpB	SsrA-binding protein
MG_060_MONOMER	MG_060	rfbV	glycosyl transferase
MG_061_MONOMER	MG_061	uhpT	Mycoplasma MFS transporter
MG_062_MONOMER	MG_062	fruA	PTS system, fructose-specific IIABC component
MG_063_MONOMER	MG_063	fruK	1-phosphofructokinase, putative
MG_064_MONOMER	MG_064		ABC transporter, permease protein, putative
MG_065_MONOMER	MG_065		ABC transporter, ATP-binding protein
MG_066_MONOMER	MG_066	tkt	transketolase
MG_067_MONOMER	MG_067		lipoprotein, putative
MG_068_MONOMER	MG_068		lipoprotein, putative
MG_069_MONOMER	MG_069	ptsG	PTS system, glucose-specific IIABC component
MG_070_MONOMER	MG_070	rpsB	ribosomal protein S2
MG_071_MONOMER	MG_071	mgtA	ATPase, P-type (transporting), HAD superfamily, subfamily IC
MG_072_MONOMER	MG_072	secA	preprotein translocase, SecA subunit
MG_073_MONOMER	MG_073	uvrB	excinuclease ABC, B subunit
MG_074_MONOMER	MG_074		
MG_075_MONOMER	MG_075		116 kDa surface antigen
MG_076_MONOMER	MG_076		
MG_077_MONOMER	MG_077	oppB	oligopeptide ABC transporter, permease protein
MG_078_MONOMER	MG_078	oppC	oligopeptide ABC transporter, permease protein
MG_079_MONOMER	MG_079	oppD	oligopeptide ABC transporter, ATP-binding protein
MG_080_MONOMER	MG_080	oppF	oligopeptide ABC transporter, ATP-binding protein
MG_081_MONOMER	MG_081	rplK	ribosomal protein L11
MG_082_MONOMER	MG_082	rplA	ribosomal protein L1
MG_083_MONOMER	MG_083	pth	peptidyl-tRNA hydrolase
MG_084_MONOMER	MG_084	tilS	tRNA(Ile)-lysidine synthetase
MG_085_MONOMER	MG_085	hprK	HPr(Ser) kinase/phosphatase
MG_086_MONOMER	MG_086	lgt	prolipoprotein diacylglyceryl transferase
MG_087_MONOMER	MG_087	rpsL	ribosomal protein S12
MG_088_MONOMER	MG_088	rpsG	ribosomal protein S7
MG_089_MONOMER	MG_089	fusA	translation elongation factor G
MG_090_MONOMER	MG_090	rpsF	ribosomal protein S6
MG_091_MONOMER	MG_091		single-strand binding protein family
MG_092_MONOMER	MG_092	rpsR	ribosomal protein S18
MG_093_MONOMER	MG_093	rplI	ribosomal protein L9
MG_094_MONOMER	MG_094	dnaB	replicative DNA helicase
MG_095_MONOMER	MG_095		lipoprotein, putative
MG_096_MONOMER	MG_096		
MG_097_MONOMER	MG_097	ung	uracil-DNA glycosylase, putative
MG_098_MONOMER	MG_098		glutamyl-tRNA(Gln) and/or aspartyl-tRNA(Asn) amidotransferase, C subunit
MG_099_MONOMER	MG_099	gatA	glutamyl-tRNA(Gln) and/or aspartyl-tRNA(Asn) amidotransferase, A subunit
MG_100_MONOMER	MG_100	gatB	glutamyl-tRNA(Gln) and/or aspartyl-tRNA(Asn) amidotransferase, B subunit
MG_101_MONOMER	MG_101	gntR	Uncharacterized HTH-type transcriptional regulator
MG_102_MONOMER	MG_102	trxB	thioredoxin-disulfide reductase
MG_103_MONOMER	MG_103		
MG_476_MONOMER	MG_476	secG	preprotein translocase, SecG subunit
