	id	model_type	name	readonly	readwrite	requirement
0	gamma_radiation__c	Stimulus	gamma radiation (1.2 MeV)		x	x
1	A23CMP__c	Metabolite	2',3'-Cyclic AMP		x	x
2	A3MP__c	Metabolite	3'-AMP		x	x
3	AC__c	Metabolite	acetate		x	x
4	ACAL__c	Metabolite	acetaldehyde		x	x
5	ACCOA__c	Metabolite	Acetyl-CoA		x	x
6	acriflavine__c	Metabolite	Acriflavine		x	x
7	ACTP__c	Metabolite	Acetyl phosphate		x	x
8	AD__c	Metabolite	adenine		x	x
9	ADN__c	Metabolite	adenosine		x	x
10	ADP__c	Metabolite	ADP		x	x
11	AEPP__c	Metabolite	2-aminoethylphosphonate		x	x
12	AHCYS__c	Metabolite	S-Adenosyl-L-homocysteine		x	x
13	AKG__c	Metabolite	2-Oxoglutarate		x	x
14	ALA__c	Metabolite	L-alanine		x	x
15	AlaAla__c	Metabolite	L-alanyl-L-alanine		x	x
16	AMET__c	Metabolite	S-Adenosyl-L-methionine		x	x
17	aminodimethylaniline__c	Metabolite	N,N'-dimethyl-p-phenylenediamine		x	x
18	AMP__c	Metabolite	AMP		x	x
19	AMP_Lysine__c	Metabolite	AMP-Lysine		x	x
20	AMP_Mor__c	Metabolite	AMP-morpholidate		x	x
21	AMP_NH2__c	Metabolite	AMP-NH2		x	x
22	anthranilate__c	Metabolite	2-aminobenzoic acid		x	x
23	ARG__c	Metabolite	L-Arginine		x	x
24	ArgArg__c	Metabolite	L-arginyl-L-arginine		x	x
25	ASN__c	Metabolite	L-Asparagine		x	x
26	AsnAsn__c	Metabolite	L-asparaginyl-L-asparagine		x	x
27	ASP__c	Metabolite	L-Aspartate		x	x
28	AspAsp__c	Metabolite	L-aspartyl-L-aspartic Acid		x	x
29	ATP__c	Metabolite	ATP		x	x
30	aza6dT__c	Metabolite	6-aza-2'-deoxythymidine		x	x
31	aza6dTMP__c	Metabolite	6-aza-2'-deoxythymidine monophosphate		x	x
32	aza8dA__c	Metabolite	8-aza-2'-deoxyadenosine		x	x
33	aza8dAMP__c	Metabolite	8-aza-2'-deoxyadenosine monophosphate		x	x
34	benzalkonium__c	Metabolite	Benzalkonium		x	x
35	berberine__c	Metabolite	Berberine		x	x
36	BUT__c	Metabolite	butyric acid, butanoic acid		x	x
37	C23CMP__c	Metabolite	2',3'-Cyclic CMP		x	x
38	C3MP__c	Metabolite	3'-CMP		x	x
39	c5dU__c	Metabolite	5-Carbouy-2'-deoxyuridine		x	x
40	c5dUMP__c	Metabolite	5-Carbouy-2'-deoxyuridine monophosphate		x	x
41	CA__c	Metabolite	calcium ion		x	x
42	CAP__c	Metabolite	carbamoyl phosphate		x	x
43	carbamoylmethyl6dA__c	Metabolite	N6-carbamoylmethyl-2'-deoxyadenosine		x	x
44	carbamoylmethyl6dAMP__c	Metabolite	N6-carbamoylmethyl-2'-deoxyadenosine monophosphate		x	x
45	CDP__c	Metabolite	CDP		x	x
46	CDPDG120__c	Metabolite	CDP-1,2-didodecanoylglycerol		x	x
47	CDPDG140__c	Metabolite	CDP-1,2-ditetradecanoylglycerol		x	x
48	CDPDG141__c	Metabolite	CDP-1,2-ditetradec-7-enoylglycerol		x	x
49	CDPDG160__c	Metabolite	CDP-1,2-dihexadecanoylglycerol		x	x
