# Where is biomass defined ? #
M_Biomass_none Biomass

## Some additional constraints - From where ? ##
M_Internal_Exchange_Constraint_01_none Internal_Exchange_Constraint_01
M_Internal_Exchange_Constraint_02_none Internal_Exchange_Constraint_02
M_Internal_Exchange_Constraint_03_none Internal_Exchange_Constraint_03
M_Internal_Exchange_Constraint_04_none Internal_Exchange_Constraint_04
M_Internal_Exchange_Constraint_05_none Internal_Exchange_Constraint_05
M_Internal_Exchange_Constraint_06_none Internal_Exchange_Constraint_06
M_Internal_Exchange_Constraint_07_none Internal_Exchange_Constraint_07
M_Constraint_001_none Constraint_001
M_Constraint_002_none Constraint_002
M_Constraint_003_none Constraint_003
M_Constraint_004_none Constraint_004
M_Constraint_005_none Constraint_005
M_Constraint_006_none Constraint_006
M_Constraint_007_none Constraint_007
M_Constraint_008_none Constraint_008
M_Constraint_009_none Constraint_009
M_Constraint_010_none Constraint_010
M_Constraint_011_none Constraint_011
M_Constraint_012_none Constraint_012
M_Constraint_013_none Constraint_013
M_Constraint_014_none Constraint_014
M_Constraint_015_none Constraint_015
M_Constraint_016_none Constraint_016

## Exchange for FBA ##
R_gamma_radiationex gamma_radiationex
R_A23CMPex A23CMPex
R_A3MPex A3MPex
R_ACex ACex
R_ACALex ACALex
R_ACCOAex ACCOAex
R_acriflavineex acriflavineex
R_ACTPex ACTPex
R_ADex ADex
R_ADNex ADNex
R_ADPex ADPex
R_AEPPex AEPPex
R_AHCYSex AHCYSex
R_AKGex AKGex
R_ALAex ALAex
R_AlaAlaex AlaAlaex
R_AMETex AMETex
R_aminodimethylanilineex aminodimethylanilineex
R_AMPex AMPex
R_AMP_Lysineex AMP_Lysineex
R_AMP_Morex AMP_Morex
R_AMP_NH2ex AMP_NH2ex
R_anthranilateex anthranilateex
R_ARGex ARGex
R_ArgArgex ArgArgex
R_ASNex ASNex
R_AsnAsnex AsnAsnex
R_ASPex ASPex
R_AspAspex AspAspex
R_ATPex ATPex
R_aza6dTex aza6dTex
R_aza6dTMPex aza6dTMPex
R_aza8dAex aza8dAex
R_aza8dAMPex aza8dAMPex
R_benzalkoniumex benzalkoniumex
R_berberineex berberineex
R_BUTex BUTex
R_C23CMPex C23CMPex
R_C3MPex C3MPex
R_c5dUex c5dUex
R_c5dUMPex c5dUMPex
R_CAex CAex
R_CAPex CAPex
R_carbamoylmethyl6dAex carbamoylmethyl6dAex
R_carbamoylmethyl6dAMPex carbamoylmethyl6dAMPex
R_CDPex CDPex
R_CDPDG120ex CDPDG120ex
R_CDPDG140ex CDPDG140ex
R_CDPDG141ex CDPDG141ex
R_CDPDG160ex CDPDG160ex
R_CDPDG161ex CDPDG161ex
R_CDPDG180ex CDPDG180ex
R_CDPDG181ex CDPDG181ex
R_Ceramide16ex Ceramide16ex
R_CH3OHex CH3OHex
R_chloroacetaldehydeex chloroacetaldehydeex
R_chloroethylene_oxideex chloroethylene_oxideex
R_CHOLex CHOLex
R_CHPex CHPex
R_ciprofloxacinex ciprofloxacinex
R_CITRex CITRex
R_CLex CLex
R_CL160ex CL160ex
R_CL161ex CL161ex
R_CL181ex CL181ex
R_cmnm5s2Uex cmnm5s2Uex
R_cmnm5s2UMPex cmnm5s2UMPex
R_CMPex CMPex
R_COex COex
R_CO2ex CO2ex
R_COAex COAex
R_crystalVioletex crystalVioletex
R_CTPex CTPex
R_CUex CUex
R_cyclobutane_dCdCex cyclobutane_dCdCex
R_cyclobutane_dCdTex cyclobutane_dCdTex
R_cyclobutane_dCMPdCMPex cyclobutane_dCMPdCMPex
R_cyclobutane_dCMPdTMPex cyclobutane_dCMPdTMPex
R_cyclobutane_dTdCex cyclobutane_dTdCex
R_cyclobutane_dTdTex cyclobutane_dTdTex
R_cyclobutane_dTMPdCMPex cyclobutane_dTMPdCMPex
R_cyclobutane_dTMPdTMPex cyclobutane_dTMPdTMPex
R_cyclodAex cyclodAex
R_cyclodAMPex cyclodAMPex
R_cyclodGex cyclodGex
R_cyclodGMPex cyclodGMPex
R_CYSex CYSex
R_CysCysex CysCysex
R_CYTDex CYTDex
R_c_di_AMPex c_di_AMPex
R_DAex DAex
R_DADPex DADPex
R_DAG160ex DAG160ex
R_DAG161ex DAG161ex
R_DAG181ex DAG181ex
R_DALAex DALAex
R_DAMPex DAMPex
R_dApdApex dApdApex
R_DATPex DATPex
R_DCex DCex
R_dC64dCex dC64dCex
R_dC64dC_dewarex dC64dC_dewarex
R_dC64dTex dC64dTex
R_dC64dT_dewarex dC64dT_dewarex
R_DCDPex DCDPex
R_DCMPex DCMPex
R_dCMP64dCMPex dCMP64dCMPex
R_dCMP64dCMP_dewarex dCMP64dCMP_dewarex
R_dCMP64dTMPex dCMP64dTMPex
R_dCMP64dTMP_dewarex dCMP64dTMP_dewarex
R_dCMP_GLYCex dCMP_GLYCex
R_dCpdCpex dCpdCpex
R_DCTPex DCTPex
R_dC_GLYCex dC_GLYCex
R_DDCAex DDCAex
R_DDECG3Pex DDECG3Pex
R_deoxyG6Pex deoxyG6Pex
R_deoxyGLCex deoxyGLCex
R_DGex DGex
R_DGDPex DGDPex
R_DGMPex DGMPex
R_dGpdGpex dGpdGpex
R_DGTPex DGTPex
R_DHAex DHAex
R_DHdTex DHdTex
R_DHdTMPex DHdTMPex
R_DHdUex DHdUex
R_DHdUMPex DHdUMPex
R_DHFex DHFex
R_dhpdUex dhpdUex
R_dhpdUMPex dhpdUMPex
R_diacylglycerolCysex diacylglycerolCysex
R_DIBUTYRINex DIBUTYRINex
R_dINSex dINSex
R_dINSMPex dINSMPex
R_DMBAex DMBAex
R_doxorubicinex doxorubicinex
R_DPCOAex DPCOAex
R_DPGex DPGex
R_DR1Pex DR1Pex
R_DR5Pex DR5Pex
R_DTex DTex
R_dT64dCex dT64dCex
R_dT64dC_dewarex dT64dC_dewarex
R_dT64dTex dT64dTex
R_dT64dT_dewarex dT64dT_dewarex
R_DTDPex DTDPex
R_DTMPex DTMPex
R_dTMP64dCMPex dTMP64dCMPex
R_dTMP64dCMP_dewarex dTMP64dCMP_dewarex
R_dTMP64dTMPex dTMP64dTMPex
R_dTMP64dTMP_dewarex dTMP64dTMP_dewarex
R_dTMP_GLYCex dTMP_GLYCex
R_dTpdTpex dTpdTpex
R_DTTPex DTTPex
R_dT_GLYCex dT_GLYCex
R_DUex DUex
R_DUDPex DUDPex
R_DUMPex DUMPex
R_DUTPex DUTPex
R_dXANex dXANex
R_dXANMPex dXANMPex
R_e1dAex e1dAex
R_e1dAMPex e1dAMPex
R_e1dGex e1dGex
R_e1dGMPex e1dGMPex
R_e3dAex e3dAex
R_e3dAMPex e3dAMPex
R_e3dCex e3dCex
R_e3dCMPex e3dCMPex
R_e3dGex e3dGex
R_e3dGMPex e3dGMPex
R_e3dTex e3dTex
R_e3dTMPex e3dTMPex
R_e4dCex e4dCex
R_e4dCMPex e4dCMPex
R_E4Pex E4Pex
R_e5dCex e5dCex
R_e5dCMPex e5dCMPex
R_e6dAex e6dAex
R_e6dAMPex e6dAMPex
R_e7dAex e7dAex
R_e7dAMPex e7dAMPex
R_e7dGex e7dGex
R_e7dGMPex e7dGMPex
R_e8dGex e8dGex
R_e8dGMPex e8dGMPex
R_enoxacinex enoxacinex
R_epsilon1N2dGex epsilon1N2dGex
R_epsilon1N2dGMPex epsilon1N2dGMPex
R_epsilon1N6dAex epsilon1N6dAex
R_epsilon1N6dAMPex epsilon1N6dAMPex
R_epsilon3N4dCex epsilon3N4dCex
R_epsilon3N4dCMPex epsilon3N4dCMPex
R_epsilonN23dGex epsilonN23dGex
R_epsilonN23dGMPex epsilonN23dGMPex
R_ethidiumex ethidiumex
R_ETNex ETNex
R_F1Pex F1Pex
R_f5dUex f5dUex
R_f5dUMPex f5dUMPex
R_F6Pex F6Pex
R_FADex FADex
R_FADH2ex FADH2ex
R_FALDex FALDex
R_FAPydAex FAPydAex
R_FAPydAMPex FAPydAMPex
R_FAPydGex FAPydGex
R_FAPydGMPex FAPydGMPex
R_FDPex FDPex
R_FE2ex FE2ex
R_FE3ex FE3ex
R_FMETex FMETex
R_FMNex FMNex
R_FMNH2ex FMNH2ex
R_FORex FORex
R_FRUex FRUex
R_FTHF10ex FTHF10ex
R_FTHF5ex FTHF5ex
R_FUC1Pex FUC1Pex
R_G1Pex G1Pex
R_G23CMPex G23CMPex
R_G2Pex G2Pex
R_G3MPex G3MPex
R_G3Pex G3Pex
R_G6Pex G6Pex
R_GalCer16ex GalCer16ex
R_GalDAG160ex GalDAG160ex
R_GalDAG161ex GalDAG161ex
R_GalDAG181ex GalDAG181ex
R_GalGalCer16ex GalGalCer16ex
R_GalGalDAG160ex GalGalDAG160ex
R_GalGalDAG161ex GalGalDAG161ex
R_GalGalDAG181ex GalGalDAG181ex
R_GalGalGalDAG160ex GalGalGalDAG160ex
R_GalGalGalDAG161ex GalGalGalDAG161ex
R_GalGalGalDAG181ex GalGalGalDAG181ex
R_GalGalGlcCer16ex GalGalGlcCer16ex
R_GalGalGlcDAG160ex GalGalGlcDAG160ex
R_GalGalGlcDAG161ex GalGalGlcDAG161ex
R_GalGalGlcDAG181ex GalGalGlcDAG181ex
R_GalGlcCer16ex GalGlcCer16ex
R_GalGlcDAG160ex GalGlcDAG160ex
R_GalGlcDAG161ex GalGlcDAG161ex
R_GalGlcDAG181ex GalGlcDAG181ex
R_GDPex GDPex
R_GDPTPex GDPTPex
R_GLex GLex
R_GL2Pex GL2Pex
R_GL3Pex GL3Pex
R_GLCex GLCex
R_GlcCer16ex GlcCer16ex
R_GlcDAG160ex GlcDAG160ex
R_GlcDAG161ex GlcDAG161ex
R_GlcDAG181ex GlcDAG181ex
R_GlcGalCer16ex GlcGalCer16ex
R_GlcGalDAG160ex GlcGalDAG160ex
R_GlcGalDAG161ex GlcGalDAG161ex
R_GlcGalDAG181ex GlcGalDAG181ex
R_GlcGalGalDAG160ex GlcGalGalDAG160ex
R_GlcGalGalDAG161ex GlcGalGalDAG161ex
R_GlcGalGalDAG181ex GlcGalGalDAG181ex
R_GlcGalGlcDAG160ex GlcGalGlcDAG160ex
R_GlcGalGlcDAG161ex GlcGalGlcDAG161ex
R_GlcGalGlcDAG181ex GlcGalGlcDAG181ex
R_GlcGlcDAG160ex GlcGlcDAG160ex
R_GlcGlcDAG161ex GlcGlcDAG161ex
R_GlcGlcDAG181ex GlcGlcDAG181ex
R_GlcGlcGlcDAG160ex GlcGlcGlcDAG160ex
R_GlcGlcGlcDAG161ex GlcGlcGlcDAG161ex
R_GlcGlcGlcDAG181ex GlcGlcGlcDAG181ex
R_glchm5dCex glchm5dCex
R_glchm5dCMPex glchm5dCMPex
R_glchm5dUex glchm5dUex
R_glchm5dUMPex glchm5dUMPex
R_GLNex GLNex
R_GlnGlnex GlnGlnex
R_GLUex GLUex
R_gludTex gludTex
R_gludTMPex gludTMPex
R_GluGluex GluGluex
R_GLYex GLYex
R_GlyGlyex GlyGlyex
R_Gmex Gmex
R_GmMPex GmMPex
R_GMPex GMPex
R_GMP_Lysineex GMP_Lysineex
R_GMP_Morex GMP_Morex
R_GNex GNex
R_GPCHex GPCHex
R_GPEex GPEex
R_GPGex GPGex
R_GPIex GPIex
R_GPSex GPSex
R_GSNex GSNex
R_GTPex GTPex
R_Hex Hex
R_H2Oex H2Oex
R_H2O2ex H2O2ex
R_HCYSex HCYSex
R_HDCAex HDCAex
R_HDCEAex HDCEAex
R_HDECEG3Pex HDECEG3Pex
R_HDECG3Pex HDECG3Pex
R_HISex HISex
R_HisHisex HisHisex
R_hm3dCex hm3dCex
R_hm3dCMPex hm3dCMPex
R_hm5dCex hm5dCex
R_hm5dCMPex hm5dCMPex
R_hm5dUex hm5dUex
R_hm5dUMPex hm5dUMPex
R_hm5hydantoin_dRiboseex hm5hydantoin_dRiboseex
R_hm5hydantoin_dRiboseMPex hm5hydantoin_dRiboseMPex
R_ho5dCex ho5dCex
R_ho5dCMPex ho5dCMPex
R_ho5dUex ho5dUex
R_ho5dUMPex ho5dUMPex
R_ho5ho6dTex ho5ho6dTex
R_ho5ho6dTMPex ho5ho6dTMPex
R_ho5ho6dUex ho5ho6dUex
R_ho5ho6dUMPex ho5ho6dUMPex
R_ho5hydantoin_dRiboseex ho5hydantoin_dRiboseex
R_ho5hydantoin_dRiboseMPex ho5hydantoin_dRiboseMPex
R_HPHPYRex HPHPYRex
R_hydrideex hydrideex
R_hydroxyl_radicalex hydroxyl_radicalex
R_HYXNex HYXNex
R_IDPex IDPex
R_ILEex ILEex
R_IleIleex IleIleex
R_IMPex IMPex
R_INOSex INOSex
R_INSex INSex
R_ITPex ITPex
R_Kex Kex
R_k2Cex k2Cex
R_k2CMPex k2CMPex
R_LACex LACex
R_LEUex LEUex
R_LeuLeuex LeuLeuex
R_LIPOATEex LIPOATEex
R_LIPOYLAMPex LIPOYLAMPex
R_LIPOYLLYSex LIPOYLLYSex
R_lomefloxacinex lomefloxacinex
R_LYSex LYSex
R_LysLysex LysLysex
R_m1dAex m1dAex
R_m1dAMPex m1dAMPex
R_m1dGex m1dGex
R_m1dGMPex m1dGMPex
R_m1Gex m1Gex
R_m1GMPex m1GMPex
R_m2Gex m2Gex
R_m2GMPex m2GMPex
R_m3dAex m3dAex
R_m3dAMPex m3dAMPex
R_m3dCex m3dCex
R_m3dCMPex m3dCMPex
R_m3dGex m3dGex
R_m3dGMPex m3dGMPex
R_m3dTex m3dTex
R_m3dTMPex m3dTMPex
R_m4dCex m4dCex
R_m4dCMPex m4dCMPex
R_m5Cex m5Cex
R_m5CMPex m5CMPex
R_m5dCex m5dCex
R_m5dCMPex m5dCMPex
R_m62Aex m62Aex
R_m62AMPex m62AMPex
R_m6Aex m6Aex
R_m6AMPex m6AMPex
R_m6dAex m6dAex
R_m6dAMPex m6dAMPex
R_m7dAex m7dAex
R_m7dAMPex m7dAMPex
R_m7dGex m7dGex
R_m7dGMPex m7dGMPex
R_m7Gex m7Gex
R_m7GMPex m7GMPex
R_m8dGex m8dGex
R_m8dGMPex m8dGMPex
R_MALex MALex
R_MANex MANex
R_MAN1Pex MAN1Pex
R_MAN6Pex MAN6Pex
R_METex METex
R_METHFex METHFex
R_methylRedex methylRedex
R_METHYL_OCDCEAex METHYL_OCDCEAex
R_MetMetex MetMetex
R_METSOXRLex METSOXRLex
R_METSOXSLex METSOXSLex
R_METTHFex METTHFex
R_MGex MGex
R_MNex MNex
R_MOex MOex
R_MOBDex MOBDex
R_MONOBUTYRINex MONOBUTYRINex
R_MORex MORex
R_MTHFex MTHFex
R_n2dAex n2dAex
R_n2dAMPex n2dAMPex
R_NAex NAex
R_NAADex NAADex
R_NACex NACex
R_NADex NADex
R_NADHex NADHex
R_NADPex NADPex
R_NADPHex NADPHex
R_NAMNex NAMNex
R_NH3ex NH3ex
R_NH4ex NH4ex
R_NIex NIex
R_nisinex nisinex
R_NMNex NMNex
R_norfloxacinex norfloxacinex
R_novobiocinex novobiocinex
R_NRex NRex
R_O2ex O2ex
R_O2edCex O2edCex
R_O2edCMPex O2edCMPex
R_O2edTex O2edTex
R_O2edTMPex O2edTMPex
R_O2mdCex O2mdCex
R_O2mdCMPex O2mdCMPex
R_O2mdTex O2mdTex
R_O2mdTMPex O2mdTMPex
R_O4edTex O4edTex
R_O4edTMPex O4edTMPex
R_O4mdTex O4mdTex
R_O4mdTMPex O4mdTMPex
R_O6edGex O6edGex
R_O6edGMPex O6edGMPex
R_O6mdGex O6mdGex
R_O6mdGMPex O6mdGMPex
R_OAex OAex
R_OCDCAex OCDCAex
R_OCDCEAex OCDCEAex
R_ODEC11GPex ODEC11GPex
R_ODECG3Pex ODECG3Pex
R_OHex OHex
R_ORNex ORNex
R_oxo2dAex oxo2dAex
R_oxo2dAMPex oxo2dAMPex
R_oxo8dAex oxo8dAex
R_oxo8dAMPex oxo8dAMPex
R_oxo8dGex oxo8dGex
R_oxo8dGMPex oxo8dGMPex
R_oxoethyl7dGex oxoethyl7dGex
R_oxoethyl7dGMPex oxoethyl7dGMPex
R_PA120ex PA120ex
R_PA140ex PA140ex
R_PA141ex PA141ex
R_PA160ex PA160ex
R_PA161ex PA161ex
R_PA180ex PA180ex
R_PA181ex PA181ex
R_PAPex PAPex
R_pCHOLex pCHOLex
R_PDLA5Pex PDLA5Pex
R_PEPex PEPex
R_PG160ex PG160ex
R_PG161ex PG161ex
R_PG181ex PG181ex
R_PGP160ex PGP160ex
R_PGP161ex PGP161ex
R_PGP181ex PGP181ex
R_PHEex PHEex
R_PhePheex PhePheex
R_PHPYRex PHPYRex
R_PIex PIex
R_PL5Pex PL5Pex
R_POE_SORBITANex POE_SORBITANex
R_PPAAex PPAAex
R_PPGPPex PPGPPex
R_PPHGex PPHGex
R_PPIex PPIex
R_PPIXex PPIXex
R_PROex PROex
R_proflavineex proflavineex
R_ProProex ProProex
R_PRPPex PRPPex
R_pSERex pSERex
R_PSIURIex PSIURIex
R_PSIURIMPex PSIURIMPex
R_pTHRex pTHRex
R_PTRCex PTRCex
R_pTYRex pTYRex
R_putdTex putdTex
R_putdTMPex putdTMPex
R_PYDXex PYDXex
R_PYRex PYRex
R_R1Pex R1Pex
R_R5Pex R5Pex
R_RBFLVRDex RBFLVRDex
R_rhodamine6Gex rhodamine6Gex
R_RIBex RIBex
R_RIBFLVex RIBFLVex
R_RL5Pex RL5Pex
R_s2Uex s2Uex
R_s2UMPex s2UMPex
R_s4Uex s4Uex
R_s4UMPex s4UMPex
R_S7Pex S7Pex
R_SALAex SALAex
R_SBTex SBTex
R_SBT6Pex SBT6Pex
R_SERex SERex
R_SerSerex SerSerex
R_SNGLYPex SNGLYPex
R_SO2ex SO2ex
R_SO4ex SO4ex
R_SPMDex SPMDex
R_STEROLex STEROLex
R_T3P1ex T3P1ex
