	id	name	readonly	readwrite	requirement
0	gamma_radiation_c	gamma radiation (1.2 MeV)	-	x	x
1	A23CMP_c	2',3'-Cyclic AMP	-	x	x
2	A3MP_c	3'-AMP	-	x	x
3	AC_c	acetate	-	x	x
4	ACAL_c	acetaldehyde	-	x	x
5	ACCOA_c	Acetyl-CoA	-	x	x
6	acriflavine_c	Acriflavine	-	x	x
7	ACTP_c	Acetyl phosphate	-	x	x
8	AD_c	adenine	-	x	x
9	ADN_c	adenosine	-	x	x
10	ADP_c	ADP	-	x	x
11	AEPP_c	2-aminoethylphosphonate	-	x	x
12	AHCYS_c	S-Adenosyl-L-homocysteine	-	x	x
13	AKG_c	2-Oxoglutarate	-	x	x
14	ALA_c	L-alanine	-	x	x
15	AlaAla_c	L-alanyl-L-alanine	-	x	x
16	AMET_c	S-Adenosyl-L-methionine	-	x	x
17	aminodimethylaniline_c	N,N'-dimethyl-p-phenylenediamine	-	x	x
18	AMP_c	AMP	-	x	x
19	AMP_Lysine_c	AMP-Lysine	-	x	x
20	AMP_Mor_c	AMP-morpholidate	-	x	x
21	AMP_NH2_c	AMP-NH2	-	x	x
22	anthranilate_c	2-aminobenzoic acid	-	x	x
23	ARG_c	L-Arginine	-	x	x
24	ArgArg_c	L-arginyl-L-arginine	-	x	x
25	ASN_c	L-Asparagine	-	x	x
26	AsnAsn_c	L-asparaginyl-L-asparagine	-	x	x
27	ASP_c	L-Aspartate	-	x	x
28	AspAsp_c	L-aspartyl-L-aspartic Acid	-	x	x
29	ATP_c	ATP	-	x	x
30	aza6dT_c	6-aza-2'-deoxythymidine	-	x	x
31	aza6dTMP_c	6-aza-2'-deoxythymidine monophosphate	-	x	x
32	aza8dA_c	8-aza-2'-deoxyadenosine	-	x	x
33	aza8dAMP_c	8-aza-2'-deoxyadenosine monophosphate	-	x	x
34	benzalkonium_c	Benzalkonium	-	x	x
35	berberine_c	Berberine	-	x	x
36	BUT_c	butyric acid, butanoic acid	-	x	x
37	C23CMP_c	2',3'-Cyclic CMP	-	x	x
38	C3MP_c	3'-CMP	-	x	x
39	c5dU_c	5-Carbouy-2'-deoxyuridine	-	x	x
40	c5dUMP_c	5-Carbouy-2'-deoxyuridine monophosphate	-	x	x
41	CA_c	calcium ion	-	x	x
42	CAP_c	carbamoyl phosphate	-	x	x
43	carbamoylmethyl6dA_c	N6-carbamoylmethyl-2'-deoxyadenosine	-	x	x
44	carbamoylmethyl6dAMP_c	N6-carbamoylmethyl-2'-deoxyadenosine monophosphate	-	x	x
45	CDP_c	CDP	-	x	x
46	CDPDG120_c	CDP-1,2-didodecanoylglycerol	-	x	x
47	CDPDG140_c	CDP-1,2-ditetradecanoylglycerol	-	x	x
48	CDPDG141_c	CDP-1,2-ditetradec-7-enoylglycerol	-	x	x
49	CDPDG160_c	CDP-1,2-dihexadecanoylglycerol	-	x	x
50	CDPDG161_c	CDP-1,2-dihexadec-9-enoylglycerol	-	x	x
51	CDPDG180_c	CDP-1,2-dioctadecanoylglycerol	-	x	x
52	CDPDG181_c	CDP-1,2-dioctadec-11-enoylglycerol	-	x	x
53	Ceramide16_c	Ceramide (d18:1/16:0)	-	x	x
54	CH3OH_c	methanol	-	x	x
55	chloroacetaldehyde_c	chloroacetaldehyde	-	x	x
56	chloroethylene_oxide_c	chloroethylene oxide	-	x	x
57	CHOL_c	choline	-	x	x
58	CHP_c	cumene hydroperoxide	-	x	x
59	ciprofloxacin_c	ciprofloxacin	-	x	x
60	CITR_c	L-citrulline	-	x	x
61	CL_c	chloride ion	-	x	x
62	CL160_c	cardiolipin (tetrahexadecanoyl, n-C16:0)	-	x	x
63	CL161_c	cardiolipin (tetrahexadec-9-enoyl, n-C16:1)	-	x	x
64	CL181_c	cardiolipin (tetraoctadec-11-enoyl, n-C18:1)	-	x	x
65	cmnm5s2U_c	5-carboxymethylaminomethyl-2-thiouridine	-	x	x
66	cmnm5s2UMP_c	5-carboxymethylaminomethyl-2-thiouridine monophosphate	-	x	x
67	CMP_c	CMP	-	x	x
68	CO_c	cobalt ion	-	x	x
69	CO2_c	carbon dioxide	-	x	x
70	COA_c	coenzyme A	-	x	x
71	crystalViolet_c	Crystal violet	-	x	x
72	CTP_c	CTP	-	x	x
