Flux	Value
R_ADix	0
R_ADPix	-5.49502376925
R_AHCYSix	0
R_AMPix	0
R_cmnm5s2UMPix	0
R_CMPix	0
R_DR5Pix	0
R_FMETix	0
R_FORix	0
R_GDPix	-5.40609164458724
R_GmMPix	-0.00462673907037
R_GMPix	0
R_GNix	0
R_Hix	-15.2992301134467
R_k2CMPix	-0.00308449271358
R_LIPOYLLYSix	0
R_m1GMPix	-0.0231336953519
R_m2GMPix	0
R_m62AMPix	0
R_m7GMPix	0
R_NH3ix	0
R_NMNix	0
R_PIix	-10.9900475385
R_PPIix	0
R_pSERix	-0.0255301327381828
R_PSIURIMPix	0
R_pTHRix	-0.0462219999385172
R_pTYRix	-0.0231336953519
R_s4UMPix	0
R_SNGLYPix	0
R_THFix	-1.13475964527654E-15
R_THYix	0
R_UmMPix	-0.00462673907037
R_UMPix	0
R_URAix	0
R_Growth	0.0785086533471861
R_CpdB3	0
R_AckA	7.76953984447329
R_TX_ACUP	-7.7695398444733
R_DeoC	0
R_GlyA4	0.022502752047455
R_PhnX	0
R_TX_ACAL	0.0225027520474554
R_AceE	7.76965863961263
R_Pta	7.76953984447328
R_TX_NormM_acriflavine	0
R_Apt	0.00921007545344855
R_DeoD2	0.0206968874470274
R_DeoD5	0
R_TX_AD	-0.0114868119935858
R_YicP	0
R_AHCYSs	0
R_UshA_AMP	0
R_Adk1	-29.8824442899324
R_Adk2	30.9386226692543
R_Adk3	-1.0198397331
R_Adk4	0.0141382252244965
R_ArcC	0
R_AtpA	-0.0604560571862
R_CholK	0
R_CmkA1	0
R_CmkA2	0.0171216873619952
R_CmkB3	0.00886997409243132
R_CoaE	0
R_Dak1	0.0141382252245023
R_Dck	0
R_Dgk1	0.00655866222252742
R_FruK1	0
R_FruK2	0
R_FthC	0.0130362367375839
R_FTHFS	0
R_GlpK	0.00925508380852881
R_Gmk1	-3.188397461644
R_Gmk2	-0.181372056447472
R_NadK	0.000190072540345189
R_NADR2	0
R_NrdEF_ADP	0
R_PcbX	0
R_PfkA1	0
R_Pgk1	0.784492102383
R_PncB	0.000982250584231491
R_PYDXK	9.50367425821276E-05
R_Pyk_ADP	-31.8279398214033
R_RibF1	9.50367425821278E-05
R_Tdk1	0
R_Tdk2	0.0141382252245
R_ThiL	0
R_Tmk	0.0141382252245
R_TX_Cbi_Co	0.000240952162393593
R_TX_Cbi_Ni	5.96357454909544E-05
R_TX_GL	0
R_TX_GL3P	0
R_TX_GLNHPQ	0
R_TX_MdlB_doxorubicin	0
R_TX_MGTA_CA	0.000361429068600719
R_TX_MGTA_CU	0.000240952162393593
R_TX_MGTA_FE2	0
R_TX_MGTA_FE3	0.00109295952848029
R_TX_MGTA_MG	0.000797366749840811
R_TX_MGTA_MN	0.000276532894158589
R_TX_MGTA_MOBD	0.000240952162393593
R_TX_MGTA_ZN	0.000333932016981957
R_TX_OppB_Ala	0.0130686029557139
R_TX_OppB_Arg	0.007206040194478
R_TX_OppB_Asn	0.0149662537570381
R_TX_OppB_Asp	0.010132149976733
R_TX_OppB_Cys	0.00239515747846283
R_TX_OppB_Gln	0.00949829256386378
R_TX_OppB_Glu	0.0124956433676549
R_TX_OppB_Gly	0
R_TX_OppB_His	0.00350008348170218
R_TX_OppB_Ile	0.017657883118792
R_TX_OppB_Leu	0.0216182515920015
R_TX_OppB_Lys	0.0206956195869791
R_TX_OppB_Met	0.00402520075808699
R_TX_OppB_Phe	0.0119598142124949
R_TX_OppB_Pro	0.00638478228589108
R_TX_OppB_Ser	0
R_TX_OppB_Thr	0
R_TX_OppB_Trp	0.00177254938149762
R_TX_OppB_Tyr	2.00525772531125
R_TX_OppB_Val	0.0142977527835227
R_TX_PHNT	0
R_TX_PIUP1	0
R_TX_RIBUP	0
R_TX_SalX_nisin	0
R_TX_SO4	0.000301190606014476
R_TX_SPMDUP1	0.00175203117639296
R_TX_SPRDUP2	0.0086430211313628
